Departamento,Provincia,Distrito,Latitud,Longitud
AYACUCHO,LUCANAS,SAN JUAN,-14.65399177,-74.18640315
AYACUCHO,LUCANAS,OTOCA,-14.4921395,-74.66021074
AYACUCHO,LUCANAS,LLAUTA,-14.24978922,-74.94054703
AYACUCHO,SUCRE,SAN PEDRO DE LARCAY,-14.28350286,-73.58958282
AYACUCHO,SUCRE,HUACAÑA,-14.21412834,-73.86466803
AYACUCHO,SUCRE,MORCOLLA,-14.15475913,-73.83445945
AYACUCHO,SUCRE,QUEROBAMBA,-13.99481661,-73.80482787
AYACUCHO,SUCRE,PAICO,-14.01259104,-73.66659058
AYACUCHO,SUCRE,CHILCAYOC,-13.89123797,-73.72176036
AYACUCHO,VILCAS HUAMAN,INDEPENDENCIA,-13.87565658,-73.85847078
AYACUCHO,VICTOR FAJARDO,CAYARA,-13.79284605,-73.98867875
AYACUCHO,VICTOR FAJARDO,SARHUA,-13.69028487,-74.40984006
CUSCO,PARURO,PILLPINTO,-13.97482586,-71.76914408
CUSCO,PARURO,YAURISQUE,-13.65091765,-71.91259039
CUSCO,PARURO,ACCHA,-13.98849372,-71.86264667
CUSCO,CANAS,YANAOCA,-14.27377937,-71.44204383
CUSCO,QUISPICANCHI,CUSIPATA,-13.88597476,-71.43791715
CUSCO,CANCHIS,SAN PABLO,-14.15176207,-71.0876044
CUSCO,CANCHIS,TINTA,-14.15874098,-71.39229802
CUSCO,ESPINAR,OCORURO,-15.08789735,-71.1389931
HUANCAVELICA,HUAYTARA,SAN ISIDRO,-13.97355912,-75.23443482
HUANCAVELICA,HUAYTARA,OCOYO,-14.02329338,-75.03480771
HUANCAVELICA,HUAYTARA,QUERCO,-13.88286554,-74.88272399
HUANCAVELICA,HUAYTARA,AYAVI,-13.71458606,-75.36826048
ICA,PALPA,RIO GRANDE,-14.34570374,-75.14757056
ICA,PISCO,PISCO,-13.70180973,-76.19177906
ICA,PALPA,SANTA CRUZ,-14.47119624,-75.25769898
ICA,ICA,PACHACUTEC,-14.16041081,-75.65166225
AYACUCHO,HUAMANGA,ACOCRO,-13.30429853,-74.02095628
AYACUCHO,HUAMANGA,TAMBILLO,-13.1902248,-74.14217035
AYACUCHO,HUAMANGA,SANTIAGO DE PISCHA,-13.07471637,-74.36417851
CUSCO,ANTA,HUAROCONDO,-13.3696553,-72.27670568
CUSCO,ANTA,ANTA,-13.48790867,-72.15997674
CUSCO,CALCA,LAMAY,-13.32206092,-71.88108824
CUSCO,URUBAMBA,MARAS,-13.33700255,-72.16218549
CUSCO,CUSCO,SAN JERONIMO,-13.55739601,-71.8674559
CUSCO,PAUCARTAMBO,CHALLABAMBA,-13.13928181,-71.76931073
CUSCO,LA CONVENCION,PICHARI,-12.3681386,-73.81034846
CUSCO,LA CONVENCION,SANTA ANA,-12.87681055,-72.74337295
CUSCO,LA CONVENCION,MEGANTONI,-11.7511334,-72.85891535
CUSCO,LA CONVENCION,HUAYOPATA,-13.05095322,-72.4732856
CUSCO,LA CONVENCION,OCOBAMBA,-12.91632127,-72.36204428
CUSCO,LA CONVENCION,VILCABAMBA,-13.05354236,-73.05119471
CUSCO,URUBAMBA,MACHUPICCHU,-13.20147139,-72.50015892
CUSCO,PAUCARTAMBO,KOSÑIPATA,-13.04505464,-71.46351662
CUSCO,URUBAMBA,URUBAMBA,-13.24494359,-72.1312676
CUSCO,ANTA,ANCAHUASI,-13.46162537,-72.32222968
CUSCO,ANTA,CACHIMAYO,-13.46350109,-72.05538733
AYACUCHO,HUAMANGA,VINCHOS,-13.3062983,-74.45643722
AYACUCHO,LA MAR,ORONCCOY,-13.34632723,-73.39260947
AYACUCHO,LA MAR,CHILCAS,-13.16861001,-73.86603934
AYACUCHO,HUAMANGA,AYACUCHO,-13.13456238,-74.25208816
AYACUCHO,HUAMANGA,JESUS NAZARENO,-13.12188979,-74.20856388
AYACUCHO,HUAMANGA,SAN JOSE DE TICLLAS,-13.12511218,-74.32642058
AYACUCHO,LA MAR,ANCO,-13.06471223,-73.64334854
AYACUCHO,HUANTA,HUAMANGUILLA,-12.99265472,-74.1589467
AYACUCHO,HUANTA,IGUAIN,-12.98308288,-74.21823494
CUSCO,PAUCARTAMBO,COLQUEPATA,-13.40303464,-71.65422693
