Departamento;Provincia;Distrito;Latitud;Longitud
ANCASH;POMABAMBA;QUINUABAMBA;-8.70232582028;-77.343694411
ANCASH;SANTA;CACERES DEL PERU;-8.96100149899;-78.0764149157
ANCASH;SANTA;MACATE;-8.77654658859;-78.1219901663
ANCASH;SIHUAS;SIHUAS;-8.54029117878;-77.6154348851
ANCASH;SIHUAS;CASHAPAMPA;-8.58781106314;-77.6532052907
ANCASH;SIHUAS;CHINGALPO;-8.36287610009;-77.6459836403
ANCASH;SIHUAS;QUICHES;-8.39597930037;-77.5097555254
LIMA;CAJATAMBO;HUANCAPON;-10.5216919084;-77.1089326193
LIMA;CAJATAMBO;MANAS;-10.6123677011;-77.2208086332
LIMA;HUAURA;CHECRAS;-10.9216977531;-76.8554804127
LIMA;HUAURA;SANTA LEONOR;-10.9627551559;-76.6712221569
LIMA;CAJATAMBO;CAJATAMBO;-10.4551401018;-76.9438397487
LIMA;CAJATAMBO;COPA;-10.3644795714;-77.0233787817
LA LIBERTAD;TRUJILLO;EL PORVENIR;-8.05161326993;-78.9959602748
CAJAMARCA;CUTERVO;SAN JUAN DE CUTERVO;-6.17421885061;-78.6000926195
CAJAMARCA;CUTERVO;SAN LUIS DE LUCMA;-6.27910059715;-78.5787565626
CAJAMARCA;CUTERVO;SOCOTA;-6.28736469896;-78.6967242093
CAJAMARCA;CHOTA;CHIMBAN;-6.28459081573;-78.4481448872
CAJAMARCA;CHOTA;LAJAS;-6.57449322322;-78.7275667131
CAJAMARCA;CHOTA;PION;-6.18419621775;-78.4781817795
CAJAMARCA;SANTA CRUZ;SANTA CRUZ;-6.62755648183;-78.9419155826
CAJAMARCA;SAN IGNACIO;SAN IGNACIO;-5.14040380526;-79.0078954652
CAJAMARCA;JAEN;SAN JOSE DEL ALTO;-5.51736702366;-79.0550579899
CAJAMARCA;JAEN;CHONTALI;-5.63393733123;-79.1333535491
TUMBES;TUMBES;CORRALES;-3.59957712452;-80.503013479
TUMBES;CONTRALMIRANTE VILLAR;CANOAS DE PUNTA SAL;-4.04098754806;-80.8906845363
TUMBES;ZARUMILLA;ZARUMILLA;-3.46440143513;-80.3013899727
CAJAMARCA;CELENDIN;CELENDIN;-6.77494718869;-78.1172774818
CAJAMARCA;CUTERVO;CUTERVO;-6.38019911927;-78.8330008953
CAJAMARCA;CUTERVO;QUEROCOTILLO;-6.1967862041;-79.0916372078
CAJAMARCA;HUALGAYOC;BAMBAMARCA;-6.69306775044;-78.479500115
CAJAMARCA;CHOTA;CHOTA;-6.55998014391;-78.6427502538
CAJAMARCA;CHOTA;CHADIN;-6.43986488593;-78.412792525
CAJAMARCA;CHOTA;CONCHAN;-6.47060852261;-78.6024505674
CAJAMARCA;SANTA CRUZ;NINABAMBA;-6.69573161245;-78.7686888579
LIMA;LIMA;LURIGANCHO;-11.9557456873;-76.794207352
LIMA;LIMA;SAN BORJA;-12.0975356033;-76.9952627269
LIMA;LIMA;SAN MIGUEL;-12.0765987497;-77.0900896423
LIMA;LIMA;RIMAC;-12.0235974515;-77.0325879052
LIMA;LIMA;INDEPENDENCIA;-11.9874773349;-77.0460084365
LIMA;LIMA;SAN ISIDRO;-12.0990010539;-77.0367723891
LIMA;LIMA;BARRANCO;-12.1440729975;-77.0208786599
AYACUCHO;HUAMANGA;ANDRES AVELINO CACERES DORREGARAY;-13.1545937678;-74.2002008928
JUNIN;YAULI;MOROCOCHA;-11.544540659;-76.1233240315
HUANUCO;HUANUCO;HUANUCO;-9.89657095109;-76.2966972451
HUANUCO;HUANUCO;CHURUBAMBA;-9.68526092849;-76.2657293173
HUANUCO;HUANUCO;SAN PEDRO DE CHAULAN;-10.0785251899;-76.4218222599
HUANUCO;HUANUCO;YACUS;-9.94605445522;-76.5112461058
HUANUCO;DOS DE MAYO;CHUQUIS;-9.64827737133;-76.6323299019
HUANUCO;PACHITEA;PANAO;-10.1483614233;-75.896738334
HUANUCO;YAROWILCA;CHACABAMBA;-9.90056670741;-76.6321379723
HUANUCO;YAROWILCA;PAMPAMARCA;-9.76588576879;-76.7077540255
